PROVINCE,CATEGORY,CAT2,CAT_B,MUNICNAME,NAMECODE,MAP_TITLE,DISTRICT,DISTRICT_N,MS_FB_PARE,MS_FB,WIKIDATA
FS,B,Local Municipality,FS184,Matjhabeng,Matjhabeng (FS184),Matjhabeng Local Municipality,DC18,Lejweleputswa,country:za/province:fs,country:za/province:fs/local-municipality:matjhabeng,Q1873451
GT,B,Local Municipality,GT481,Mogale City,Mogale City (GT481),Mogale City Local Municipality,DC48,West Rand,country:za/province:gt,country:za/province:gt/local-municipality:mogale-city,Q127787
GT,A,Metropolitan Municipality,TSH,City of Tshwane,City of Tshwane (TSH),City of Tshwane Metropolitan Municipality,TSH,City of Tshwane,country:za/province:gt,country:za/province:gt/metropolitan-municipality-of-south-africa:city-of-tshwane,Q1094207
KZN,B,Local Municipality,KZN252,Newcastle,Newcastle (KZN252),Newcastle Local Municipality,DC25,Amajuba,country:za/province:nl,country:za/province:nl/local-municipality:newcastle,Q1983450
KZN,A,Metropolitan Municipality,ETH,eThekwini,eThekwini (ETH),Ethekwini Metropolitan Municipality,ETH,eThekwini,country:za/province:nl,country:za/province:nl/metropolitan-municipality-of-south-africa:ethekwini,Q311544
KZN,B,Local Municipality,KZN225,The Msunduzi,The Msunduzi (KZN225),The Msunduzi Local Municipality,DC22,Umgungundlovu,country:za/province:nl,country:za/province:nl/local-municipality:the-msunduzi,Q1815510
KZN,B,Local Municipality,KZN282,uMhlathuze,uMhlathuze (KZN282),uMhlathuze Local Municipality,DC28,Uthungulu,country:za/province:nl,country:za/province:nl/local-municipality:umhlathuze,Q311800
EC,A,Metropolitan Municipality,NMA,Nelson Mandela Bay,Nelson Mandela Bay (NMA),Nelson Mandela Bay Metropolitan Municipality,NMA,Nelson Mandela Bay,country:za/province:ec,country:za/province:ec/metropolitan-municipality-of-south-africa:nelson-mandela-,Q1856565
EC,A,Metropolitan Municipality,BUF,Buffalo City,Buffalo City (BUF),Buffalo City Metropolitan Municipality,BUF,Buffalo City,country:za/province:ec,country:za/province:ec/metropolitan-municipality-of-south-africa:buffalo-city,Q1002006
WC,A,Metropolitan Municipality,CPT,City of Cape Town,City of Cape Town (CPT),City of Cape Town Metropolitan Municipality,CPT,City of Cape Town,country:za/province:wc,country:za/province:wc/metropolitan-municipality-of-south-africa:city-of-cape-to,Q1185115
FS,A,Metropolitan Municipality,MAN,Mangaung,Mangaung (MAN),Mangaung Metropolitan Municipality,MAN,Mangaung,country:za/province:fs,country:za/province:fs/metropolitan-municipality-of-south-africa:mangaung,Q1159185
GT,B,Local Municipality,GT421,Emfuleni,Emfuleni (GT421),Emfuleni Local Municipality,DC42,Sedibeng,country:za/province:gt,country:za/province:gt/local-municipality:emfuleni,Q1335678
GT,A,Metropolitan Municipality,JHB,City of Johannesburg,City of Johannesburg (JHB),City of Johannesburg Metropolitan Municipality,JHB,City of Johannesburg,country:za/province:gt,country:za/province:gt/metropolitan-municipality-of-south-africa:city-of-johanne,Q2346838
GT,A,Metropolitan Municipality,EKU,Ekurhuleni,Ekurhuleni (EKU),Ekurhuleni Metropolitan Municipality,EKU,Ekurhuleni,country:za/province:gt,country:za/province:gt/metropolitan-municipality-of-south-africa:ekurhuleni,Q326891
MP,B,Local Municipality,MP312,Emalahleni,Emalahleni (MP312),Emalahleni Local Municipality,DC31,Nkangala,country:za/province:mp,country:za/province:mp/local-municipality:emalahleni,Q2347801
