CODE,PROVINCE,Area,WIKIDATA,MS_FB_PARE,MS_FB
EC,Eastern Cape,169309.83409100000,Q130840,country:za,country:za/province:ec
FS,Free State,130011.48654100001,Q160284,country:za,country:za/province:fs
GT,Gauteng,18182.49228560000,Q133083,country:za,country:za/province:gt
KZN,KwaZulu-Natal,94451.01975240000,Q81725,country:za,country:za/province:nl
LIM,Limpopo,125806.05244000000,Q134907,country:za,country:za/province:lp
MP,Mpumalanga,76544.30392599999,Q132410,country:za,country:za/province:mp
NW,North West,105238.13133000000,Q165956,country:za,country:za/province:nw
NC,Northern Cape,378276.60973800003,Q132418,country:za,country:za/province:nc
WC,Western Cape,131521.55911999999,Q127167,country:za,country:za/province:wc
