NAME,WIKIDATA,MS_FB_PARE,MS_FB
KwaZulu-Natal,Q59136538,country:za,country:za/provincial-assembly-constituency:kwazulu-natal
Western Cape,Q59136539,country:za,country:za/provincial-assembly-constituency:western-cape
Eastern Cape,Q59136540,country:za,country:za/provincial-assembly-constituency:eastern-cape
Mpumalanga,Q59136541,country:za,country:za/provincial-assembly-constituency:mpumalanga
Northern Cape,Q59136542,country:za,country:za/provincial-assembly-constituency:northern-cape
Gauteng,Q59136543,country:za,country:za/provincial-assembly-constituency:gauteng
Limpopo,Q59136544,country:za,country:za/provincial-assembly-constituency:limpopo
Free State,Q59136545,country:za,country:za/provincial-assembly-constituency:free-state
North West,Q59136546,country:za,country:za/provincial-assembly-constituency:north-west
